ZipCode;Latitude;Longitude;State;StateFullName;City
00501;40.8154;-73.0456;NY;New York;Holtsville
00544;40.8154;-73.0456;NY;New York;Holtsville
00601;18.196747;-66.736735;PR;Puerto Rico;Adjuntas
00602;18.352927;-67.177532;PR;Puerto Rico;Aguada
00603;18.458585;-67.129867;PR;Puerto Rico;Aguadilla
00604;18.488773;-67.147741;PR;Puerto Rico;Aguadilla
00605;18.4289;-67.1538;PR;Puerto Rico;Aguadilla
00606;18.166734;-66.939233;PR;Puerto Rico;Maricao
00610;18.294649;-67.130034;PR;Puerto Rico;Anasco
00611;18.2856;-66.9698;PR;Puerto Rico;Angeles
00612;18.388009;-66.665279;PR;Puerto Rico;Arecibo
00613;18.4744;-66.7163;PR;Puerto Rico;Arecibo
00614;18.4744;-66.7163;PR;Puerto Rico;Arecibo
00616;18.405484;-66.671233;PR;Puerto Rico;Bajadero
00617;18.429792;-66.558109;PR;Puerto Rico;Barceloneta
00622;17.992876;-67.153699;PR;Puerto Rico;Boqueron
00623;18.040203;-67.146574;PR;Puerto Rico;Cabo Rojo
00624;18.072797;-66.724825;PR;Puerto Rico;Penuelas
00627;18.425195;-66.867756;PR;Puerto Rico;Camuy
00631;18.224554;-66.867756;PR;Puerto Rico;Castaner
00636;18.1647;-67.0797;PR;Puerto Rico;Rosario
00637;18.077592;-66.939232;PR;Puerto Rico;Sabana Grande
00638;18.299662;-66.498579;PR;Puerto Rico;Ciales
00641;18.279721;-66.689096;PR;Puerto Rico;Utuado
00646;18.459098;-66.272418;PR;Puerto Rico;Dorado
00647;17.97252;-66.945189;PR;Puerto Rico;Ensenada
00650;18.363009;-66.558109;PR;Puerto Rico;Florida
00652;18.451909;-66.599784;PR;Puerto Rico;Garrochales
00653;17.982516;-66.891581;PR;Puerto Rico;Guanica
00656;18.037324;-66.796287;PR;Puerto Rico;Guayanilla
00659;18.416025;-66.796287;PR;Puerto Rico;Hatillo
00660;18.138245;-67.111993;PR;Puerto Rico;Hormigueros
00662;18.45613;-67.02263;PR;Puerto Rico;Isabela
00664;18.210309;-66.581923;PR;Puerto Rico;Jayuya
00667;18.010034;-67.02263;PR;Puerto Rico;Lajas
00669;18.291418;-66.867756;PR;Puerto Rico;Lares
00670;18.239633;-66.986887;PR;Puerto Rico;Las Marias
00674;18.433168;-66.498579;PR;Puerto Rico;Manati
00676;18.385559;-67.082204;PR;Puerto Rico;Moca
00677;18.331739;-67.231158;PR;Puerto Rico;Rincon
00678;18.431293;-66.915406;PR;Puerto Rico;Quebradillas
00680;18.210009;-67.106035;PR;Puerto Rico;Mayaguez
00681;18.1211;-67.0824;PR;Puerto Rico;Mayaguez
00682;18.220812;-67.147741;PR;Puerto Rico;Mayaguez
00683;18.099194;-67.02263;PR;Puerto Rico;San German
00685;18.316188;-66.974973;PR;Puerto Rico;San Sebastian
00687;18.322194;-66.415246;PR;Puerto Rico;Morovis
00688;18.349991;-66.629553;PR;Puerto Rico;Sabana Hoyos
00690;18.50189;-67.097099;PR;Puerto Rico;San Antonio
00692;18.4018;-66.343828;PR;Puerto Rico;Vega Alta
00693;18.420721;-66.403342;PR;Puerto Rico;Vega Baja
00694;18.4465;-66.3884;PR;Puerto Rico;Vega Baja
00698;18.090875;-66.867756;PR;Puerto Rico;Yauco
00703;18.262566;-66.129629;PR;Puerto Rico;Aguas Buenas
00704;17.980199;-66.218868;PR;Puerto Rico;Aguirre
00705;18.135403;-66.260518;PR;Puerto Rico;Aibonito
00707;18.012675;-65.915522;PR;Puerto Rico;Maunabo
00714;17.987052;-66.058249;PR;Puerto Rico;Arroyo
00715;18.007113;-66.558109;PR;Puerto Rico;Mercedita
00716;17.987655;-66.6236;PR;Puerto Rico;Ponce
00717;18.000417;-66.614669;PR;Puerto Rico;Ponce
00718;18.25005;-65.784727;PR;Puerto Rico;Naguabo
00719;18.278197;-66.248617;PR;Puerto Rico;Naranjito
00720;18.20454;-66.450958;PR;Puerto Rico;Orocovis
00721;18.3018;-66.08;PR;Puerto Rico;Palmer
00723;18.025158;-66.010668;PR;Puerto Rico;Patillas
00725;18.205646;-66.034458;PR;Puerto Rico;Caguas
00726;18.2364;-66.0489;PR;Puerto Rico;Caguas
00727;18.21671;-66.055275;PR;Puerto Rico;Caguas
00728;18.019233;-66.65337;PR;Puerto Rico;Ponce
00729;18.341924;-65.891738;PR;Puerto Rico;Canovanas
00730;18.032129;-66.6236;PR;Puerto Rico;Ponce
00731;18.095571;-66.641462;PR;Puerto Rico;Ponce
